PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
130,151,86,5,14,27,50
153,128,24,4,10,44,NA
144,135,56,2,7,49,28
115,110,52,4,10,17,75
69,76,51,3,10,18,NA
73,78,7,1,8,44,57
NA,41,NA,NA,56,94,NA
148,130,56,2,32,49,43
171,127,27,NA,69,80,44
78,106,42,NA,18,89,37
NA,89,59,5,70,27,40
62,89,18,3,5,35,53
50,49,11,6,4,17,16
53,80,9,4,11,16,NA
94,161,24,12,5,56,28
NA,NA,42,NA,8,106,28
104,NA,3,4,12,33,36
157,142,52,7,13,45,23
143,113,50,3,15,28,88
148,159,74,5,12,21,94
128,115,23,5,10,43,79
134,153,87,6,12,25,80
155,133,25,4,10,34,NA
146,138,57,2,7,45,38
117,108,53,4,10,19,92
70,78,56,3,20,16,NA
73,80,8,1,8,43,53
NA,41,NA,NA,56,95,NA
150,133,55,2,31,42,68
169,126,27,NA,70,80,43
75,106,43,NA,18,101,35
NA,88,58,5,60,27,50
73,94,18,3,6,55,27
48,NA,10,6,4,13,18
44,68,9,4,11,16,NA
92,174,26,13,6,98,16
NA,NA,43,NA,10,103,43
117,NA,4,3,11,33,13
164,143,59,7,13,63,16
147,114,48,3,15,31,110
150,149,77,5,11,37,83
134,120,24,5,10,50,83
142,161,88,7,10,47,70
147,127,25,4,9,59,NA
142,137,58,2,7,49,35
123,109,55,4,11,32,88
71,80,59,4,23,80,NA
76,89,10,1,8,76,48
NA,41,NA,NA,56,84,NA
160,139,73,3,26,58,53
177,128,28,NA,71,91,43
73,109,48,NA,18,113,26
NA,88,58,5,48,58,35
77,96,17,3,6,63,27
49,NA,10,6,4,13,18
42,62,9,4,11,16,NA
93,176,26,13,6,105,12
NA,NA,43,NA,10,102,42
118,NA,4,3,11,33,12
166,146,59,7,13,71,11
145,113,47,3,15,30,99
151,149,78,5,11,47,68
135,119,24,5,10,57,74
137,156,90,8,10,57,62
139,122,25,4,9,63,NA
140,136,58,2,7,55,28
124,108,56,4,11,38,76
70,80,60,4,23,92,NA
80,92,11,1,8,85,46
NA,41,NA,NA,56,81,NA
155,132,73,3,25,65,45
178,129,28,NA,72,94,43
73,110,48,NA,18,115,24
NA,88,58,5,47,67,30
90,104,16,3,11,45,52
107,75,15,7,4,24,14
NA,NA,NA,NA,NA,17,NA
109,189,19,14,7,67,15
98,99,47,NA,13,115,18
119,90,6,3,11,33,11
210,173,58,7,12,72,12
220,146,56,3,22,33,21
206,182,101,7,8,42,36
154,124,32,5,10,53,44
184,200,109,11,8,49,27
201,148,24,4,10,87,NA
220,174,59,2,8,80,13
220,139,40,4,13,62,14
82,86,74,6,26,25,NA
109,108,13,1,6,53,49
NA,41,NA,NA,56,83,NA
198,153,83,3,16,56,30
NA,NA,NA,NA,NA,66,16
228,152,29,NA,75,85,43
59,104,45,NA,18,99,26
NA,88,58,5,29,44,32
89,104,16,3,12,41,54
107,75,15,7,4,24,15
NA,NA,NA,NA,NA,17,NA
110,192,18,14,11,68,14
97,98,47,NA,13,115,20
122,92,7,3,11,33,14
213,174,58,7,12,70,16
223,147,56,3,23,32,23
203,184,104,7,8,41,41
155,122,34,5,10,56,49
187,201,113,12,8,45,39
203,148,24,4,10,87,NA
224,176,57,2,8,77,18
225,139,40,4,13,59,20
85,87,76,6,25,27,NA
110,108,13,1,5,49,47
NA,41,NA,NA,56,86,NA
200,154,84,3,16,53,38
NA,NA,NA,NA,NA,66,16
230,152,29,NA,76,85,42
57,103,44,NA,18,101,26
NA,87,59,5,30,45,36
NA,NA,3,NA,7,12,37
NA,NA,3,1,8,11,51
NA,NA,2,NA,7,17,30
NA,NA,3,NA,7,11,29
NA,NA,2,NA,7,11,23
58,49,17,11,4,68,21
NA,NA,NA,NA,NA,80,6
144,114,15,19,4,72,56
159,140,28,1,28,71,19
108,101,17,18,4,71,43
248,204,29,1,27,79,26
105,98,17,18,4,72,59
248,206,29,1,27,61,34
95,99,17,19,4,72,35
265,222,29,1,27,84,16
95,99,18,20,4,72,27
271,229,29,1,27,90,10
112,114,24,20,5,73,26
349,294,29,1,31,130,18
113,115,24,19,6,74,34
364,306,29,1,32,131,25
159,102,13,3,14,40,17
101,91,23,NA,10,86,NA
151,119,18,4,9,50,34
94,124,30,3,14,14,20
NA,NA,NA,NA,NA,18,25
271,158,12,3,34,39,15
164,130,22,9,19,52,13
163,146,7,NA,13,11,NA
128,97,12,3,13,9,26
98,89,23,NA,9,93,NA
125,109,22,4,7,39,33
NA,NA,NA,NA,NA,NA,20
74,93,24,3,6,17,28
315,209,12,3,44,37,24
117,113,18,8,16,53,8
147,117,7,NA,13,9,NA
67,61,13,3,9,34,31
88,78,23,NA,9,89,NA
97,92,18,5,7,42,15
118,90,8,1,11,NA,5
53,63,24,3,6,18,13
171,113,12,3,30,40,7
67,81,18,7,20,46,7
99,96,7,NA,14,10,NA
63,56,13,3,9,30,37
80,73,23,NA,9,88,NA
106,96,18,5,8,42,18
118,90,8,1,11,NA,8
52,60,26,3,6,20,15
171,113,12,3,NA,46,7
67,80,19,7,20,44,8
100,98,7,NA,13,10,NA
56,48,13,3,8,23,50
59,59,23,NA,9,89,NA
106,96,18,5,8,42,13
81,73,8,1,10,NA,8
48,53,30,3,5,22,15
NA,NA,12,3,NA,45,4
64,72,18,7,20,44,7
91,91,7,NA,13,13,NA
55,47,13,3,9,23,88
55,57,23,NA,9,89,NA
107,97,18,5,8,43,12
76,70,8,1,10,NA,7
49,53,30,3,5,22,14
NA,NA,12,3,NA,42,4
62,69,18,7,20,44,7
89,90,7,NA,13,13,NA
60,46,12,3,8,36,4
43,45,22,NA,10,89,NA
114,101,23,5,10,44,11
61,57,8,1,9,NA,7
60,62,40,3,4,22,13
NA,NA,12,3,19,33,4
47,46,17,7,16,51,6
62,72,7,NA,13,10,NA
61,47,12,3,9,35,4
47,48,23,NA,10,89,NA
117,102,24,5,10,41,12
61,57,8,1,9,NA,8
60,62,40,3,4,22,13
NA,NA,12,3,19,30,5
45,44,17,7,16,51,7
62,73,7,NA,13,10,NA
107,98,44,10,10,64,49
76,95,18,3,21,29,46
317,279,40,12,31,59,50
61,92,48,7,13,29,61
116,154,88,NA,NA,72,26
87,100,51,12,17,57,42
223,157,28,NA,9,42,37
129,119,39,7,10,41,50
161,122,27,6,10,30,71
115,110,32,10,8,91,25
161,119,34,11,11,47,82
74,92,21,2,21,21,82
287,223,51,8,48,39,60
83,119,61,10,8,20,73
NA,NA,NA,NA,NA,32,56
186,146,68,25,30,65,50
223,206,29,NA,11,60,37
137,131,34,7,10,30,54
124,109,26,5,8,34,92
118,119,36,11,9,47,47
74,78,39,10,9,39,56
61,83,19,4,19,23,40
271,204,45,9,36,59,33
70,102,52,8,11,27,56
147,144,67,6,12,25,38
118,120,69,22,18,31,40
218,200,34,NA,11,69,25
95,104,36,6,10,24,35
130,96,29,5,10,33,56
112,118,38,11,8,54,27
73,77,44,10,9,33,65
59,82,20,5,21,21,58
275,206,41,10,37,48,45
70,104,53,8,14,26,58
144,141,68,6,13,22,46
115,119,72,23,17,59,40
217,201,33,NA,12,68,45
91,99,36,6,10,21,58
126,93,29,5,10,28,82
111,116,39,12,8,71,36
87,94,49,11,10,42,34
61,82,20,5,20,26,34
278,201,38,10,40,47,25
70,100,46,7,15,28,45
128,137,71,6,14,44,27
108,116,72,23,17,73,34
186,169,31,NA,10,71,41
81,97,35,7,11,39,36
110,91,29,5,9,27,51
106,116,39,13,9,105,17
90,96,51,11,11,42,26
61,81,21,5,19,26,27
272,197,38,10,40,48,21
68,98,44,7,15,29,43
122,135,71,6,14,50,23
104,113,70,22,16,68,33
175,156,30,NA,10,74,35
80,95,35,6,11,43,30
109,91,29,5,9,28,42
102,114,38,13,8,111,11
92,104,53,11,11,35,30
66,86,24,4,22,23,34
203,143,30,12,49,45,24
63,94,29,5,14,49,52
108,122,66,6,13,23,34
77,94,58,16,19,39,60
204,156,24,NA,11,180,24
121,123,32,5,10,34,21
144,104,28,5,8,35,30
88,107,39,13,8,47,18
93,105,52,11,11,32,38
66,87,24,4,23,22,39
209,142,30,11,49,49,27
63,94,29,5,13,48,51
107,121,65,6,13,22,37
77,93,58,16,18,40,61
206,156,23,NA,11,70,29
123,127,32,5,10,33,28
149,107,28,5,7,35,38
88,107,39,13,8,50,25
81,NA,21,NA,7,60,26
NA,NA,NA,NA,NA,18,38
68,NA,31,19,9,87,NA
36,NA,1,NA,7,22,20
51,43,NA,NA,NA,20,23
84,NA,14,NA,11,26,44
25,30,7,14,18,19,38
34,NA,18,10,5,96,NA
21,NA,4,NA,5,23,27
59,43,56,NA,7,7,39
42,NA,18,NA,10,46,21
29,28,5,12,14,15,38
37,NA,19,10,5,100,NA
28,NA,5,NA,6,23,17
59,42,NA,2,10,10,34
40,NA,18,NA,11,45,17
30,27,5,12,16,16,38
37,NA,19,11,5,99,NA
27,NA,5,NA,6,23,24
66,48,NA,2,10,11,45
41,NA,18,NA,9,39,16
28,26,6,13,18,17,38
37,NA,22,12,6,92,NA
25,NA,6,NA,7,23,19
56,45,NA,2,11,12,40
41,NA,18,NA,9,28,10
28,26,6,13,18,17,38
37,NA,25,13,6,85,NA
25,NA,6,NA,7,23,16
54,44,NA,2,11,12,35
32,NA,19,NA,6,23,21
39,32,6,12,24,15,38
65,NA,29,15,NA,52,NA
25,NA,5,NA,6,23,30
51,44,NA,3,11,12,26
35,NA,19,NA,6,23,23
41,33,6,12,27,16,38
67,NA,30,15,NA,46,NA
26,NA,5,NA,6,23,34
51,43,NA,3,11,11,31
53,60,25,5,6,22,33
28,48,30,5,3,29,29
NA,NA,NA,NA,NA,19,34
59,60,40,1,9,26,20
71,NA,40,NA,17,40,32
76,65,46,3,1,26,28
100,86,27,5,19,18,42
85,98,36,5,9,12,33
102,104,33,4,31,24,43
109,105,48,NA,19,23,26
116,NA,28,NA,26,40,61
166,126,66,3,3,44,31
105,92,31,4,19,24,35
95,95,40,5,11,60,32
115,114,38,3,35,30,39
122,112,53,NA,20,28,24
NA,NA,NA,NA,NA,51,40
148,119,68,3,3,28,25
104,94,34,4,19,24,39
88,92,37,5,10,69,38
112,110,37,3,34,29,47
116,107,51,NA,20,23,32
NA,NA,NA,NA,NA,45,42
139,114,66,3,3,32,29
92,91,37,4,14,31,30
74,87,37,5,8,61,28
100,98,33,3,25,28,37
101,100,49,NA,16,22,25
104,NA,54,NA,21,40,30
139,110,66,3,3,49,25
90,90,37,4,12,31,28
72,86,38,5,7,NA,26
96,96,32,3,24,28,34
97,99,48,NA,15,23,22
105,NA,54,NA,20,40,27
137,109,67,3,2,51,23
87,87,34,4,3,27,31
60,79,32,5,3,NA,27
NA,NA,NA,NA,NA,25,37
71,81,38,1,5,23,23
101,NA,42,NA,16,43,32
122,101,62,4,2,35,25
87,87,34,4,3,28,32
60,79,32,5,3,NA,28
NA,NA,NA,NA,NA,25,38
70,79,38,1,5,23,25
99,NA,42,NA,16,43,34
123,102,62,4,2,38,26
235,201,30,6,11,49,58
247,151,76,22,55,60,103
NA,294,92,20,27,84,18
339,298,75,22,19,82,24
NA,242,79,17,15,172,16
324,285,80,13,6,82,12
278,255,83,19,27,60,18
300,314,117,18,12,36,9
71,135,81,16,14,21,1
281,NA,53,NA,11,NA,25
216,NA,240,NA,4,54,6
261,NA,39,NA,18,NA,15
167,NA,43,NA,10,122,39
360,NA,33,8,12,75,NA
202,164,48,14,14,66,19
208,203,NA,NA,16,66,54
NA,NA,NA,NA,NA,32,16
159,128,66,12,11,42,5
328,315,64,12,27,59,2
303,264,23,NA,NA,175,19
330,289,95,18,22,69,27
291,232,88,16,16,109,7
198,NA,60,NA,21,NA,29
264,NA,66,NA,26,84,6
331,221,30,5,10,61,93
328,195,88,15,30,50,206
345,243,106,17,24,49,45
357,268,65,18,11,52,NA
371,237,81,17,14,50,52
357,265,98,13,11,64,45
349,280,86,15,13,47,50
321,264,79,18,8,50,21
108,191,103,14,10,20,1
252,NA,61,NA,18,NA,37
132,NA,169,NA,8,42,1
146,NA,49,NA,20,NA,25
199,NA,36,NA,11,110,55
242,NA,33,8,8,92,NA
254,193,53,16,14,44,26
241,223,41,14,19,39,64
332,199,92,12,30,24,39
NA,NA,NA,NA,NA,NA,NA
308,213,64,10,21,63,2
353,249,29,NA,NA,52,33
362,245,100,15,14,NA,61
318,200,86,14,15,61,17
142,NA,56,NA,16,NA,32
319,NA,71,NA,28,86,8
336,204,26,5,12,80,14
323,187,85,14,29,48,50
330,247,105,17,29,68,29
351,248,62,19,12,66,29
355,218,86,16,27,76,86
353,259,89,12,17,97,116
326,234,84,15,17,81,15
321,264,72,17,7,84,9
149,192,98,15,11,25,2
296,NA,74,NA,44,NA,37
186,NA,220,NA,17,41,1
219,NA,63,NA,23,NA,19
274,NA,36,NA,14,107,43
355,NA,33,8,19,97,NA
244,186,53,17,15,69,6
232,225,46,15,21,50,18
357,186,101,13,28,35,13
NA,NA,NA,NA,NA,112,NA
314,221,66,10,17,95,2
347,257,29,NA,NA,86,36
361,245,105,15,16,74,15
325,212,94,12,15,105,19
188,NA,58,NA,17,NA,44
323,NA,73,NA,29,102,7
343,202,27,5,12,81,24
327,188,83,15,29,58,74
343,245,105,17,28,61,25
363,250,64,19,12,66,30
361,217,86,17,27,75,29
358,257,89,12,17,83,101
336,238,88,15,19,68,21
329,269,74,17,7,75,10
157,199,98,16,11,22,1
278,NA,79,NA,41,NA,41
177,NA,226,NA,18,28,1
218,NA,62,NA,23,NA,23
269,NA,40,NA,15,200,46
348,NA,33,8,20,96,NA
252,186,55,18,15,85,6
249,228,47,15,21,54,21
354,184,103,13,24,32,13
NA,NA,NA,NA,NA,98,NA
323,225,68,10,17,81,2
354,257,29,NA,NA,74,39
369,247,106,15,17,62,46
335,214,96,12,15,104,21
190,NA,58,NA,17,NA,62
308,NA,74,NA,29,87,6
306,178,26,5,11,68,36
326,187,75,15,30,32,64
323,210,97,17,27,56,15
345,225,62,18,11,56,23
340,189,78,17,24,71,7
342,230,85,12,18,61,27
336,231,89,16,21,59,12
319,256,76,17,7,53,6
152,189,96,17,11,25,1
280,NA,90,NA,40,NA,19
187,NA,201,NA,19,43,2
202,NA,54,NA,21,NA,20
272,NA,41,NA,17,150,40
362,NA,36,8,22,106,NA
215,164,55,17,13,81,5
216,202,40,15,19,45,24
288,153,93,13,18,25,15
NA,NA,NA,NA,NA,90,NA
316,218,65,10,16,68,2
327,233,26,NA,NA,49,19
355,228,99,15,19,35,55
321,200,90,12,14,93,12
211,NA,60,NA,22,NA,39
298,NA,74,NA,28,74,5
298,174,26,5,11,67,36
319,183,72,15,31,26,59
317,203,96,16,26,57,13
340,222,63,18,11,55,19
337,185,76,17,24,70,7
337,224,85,12,18,62,26
333,225,89,16,21,59,10
314,251,77,17,7,50,5
150,187,95,17,11,24,1
283,NA,93,NA,40,NA,13
190,NA,204,NA,19,45,2
196,NA,53,NA,20,NA,16
271,NA,40,NA,17,159,38
361,NA,40,8,23,97,NA
208,162,55,17,13,83,5
210,196,39,15,18,44,23
276,148,91,12,17,24,15
NA,NA,NA,NA,NA,90,NA
312,215,64,10,16,67,2
319,225,26,NA,NA,49,16
350,222,97,15,19,35,51
314,194,87,12,14,89,9
220,NA,60,NA,23,NA,30
236,NA,77,NA,29,66,5
203,113,19,5,7,65,23
264,140,45,15,28,71,36
284,147,75,14,17,59,13
290,152,49,15,10,54,9
307,136,51,17,10,47,5
294,153,70,11,16,63,19
262,145,75,18,20,66,7
273,185,71,16,9,50,5
95,136,81,19,10,25,1
325,NA,95,NA,23,NA,24
254,NA,247,NA,10,45,1
NA,NA,NA,NA,NA,NA,17
249,NA,42,NA,15,100,36
375,NA,89,8,44,84,NA
125,119,40,13,13,36,10
128,131,22,12,15,35,15
137,108,66,10,14,20,17
NA,NA,NA,NA,NA,48,NA
240,140,48,8,18,53,3
274,147,16,NA,NA,58,12
297,150,69,13,24,28,13
270,139,57,12,14,91,5
352,NA,69,NA,26,NA,30
234,NA,76,NA,28,65,6
197,108,19,5,6,65,28
266,140,44,15,27,59,43
286,148,76,14,16,61,13
291,152,50,15,10,55,12
308,137,52,17,11,50,6
295,153,70,11,16,65,19
263,143,74,18,19,67,10
277,184,71,16,10,47,5
86,134,82,19,10,25,1
331,NA,95,NA,23,NA,29
265,NA,247,NA,10,45,1
NA,NA,NA,NA,NA,NA,17
249,NA,41,NA,16,100,37
375,NA,93,8,44,82,NA
119,116,39,13,13,36,11
121,128,21,12,14,34,16
124,105,64,10,14,26,17
NA,NA,NA,NA,NA,48,NA
240,139,48,8,18,52,3
274,145,16,NA,NA,60,13
300,151,70,13,24,33,14
273,140,58,13,14,95,5
353,NA,69,NA,26,NA,40
95,80,42,11,19,26,24
137,105,54,8,20,23,23
184,138,57,8,35,33,20
126,92,70,7,8,26,6
128,91,31,9,7,31,15
98,102,32,8,51,22,6
158,113,66,6,8,34,11
106,85,46,8,8,23,6
133,134,59,14,20,23,21
103,77,60,3,9,23,14
NA,NA,NA,NA,NA,75,7
117,104,55,12,6,37,24
97,86,36,8,13,17,49
211,182,64,9,26,23,20
345,258,82,6,51,30,20
225,127,49,6,6,20,16
189,113,28,9,4,31,22
180,137,43,12,40,23,19
192,155,57,5,7,32,32
148,117,39,6,10,36,5
254,241,75,16,24,26,18
127,128,93,3,13,23,18
192,164,24,8,6,103,24
172,117,54,7,5,24,30
124,107,58,9,13,38,47
NA,NA,NA,NA,22,NA,13
228,179,68,10,21,15,48
358,312,80,5,31,35,39
208,121,59,5,7,20,40
NA,NA,29,9,5,32,42
177,115,38,11,40,25,56
241,174,58,5,9,45,49
213,139,45,7,11,57,6
227,206,71,15,17,23,43
179,143,109,3,14,24,35
226,160,25,9,8,118,57
214,168,57,7,5,22,22
128,110,57,9,14,30,62
NA,NA,NA,NA,22,NA,17
229,179,68,10,21,12,67
346,317,80,5,32,20,52
207,119,60,5,7,10,58
NA,NA,30,9,5,23,60
170,114,38,11,40,14,67
239,174,60,4,9,27,64
221,144,46,7,11,38,7
232,210,71,14,16,20,61
177,142,107,3,14,19,50
222,159,27,9,9,117,78
222,172,58,8,5,29,31
148,119,57,9,15,42,40
NA,NA,NA,NA,22,NA,12
222,176,74,9,22,39,36
334,329,82,6,31,51,34
224,126,70,5,8,36,29
NA,NA,39,9,6,60,33
156,112,43,10,40,31,36
245,177,71,4,10,49,36
207,149,54,7,11,59,7
240,208,78,13,16,37,37
177,141,91,3,15,62,25
230,162,42,8,9,119,36
233,198,61,8,6,74,23
153,120,55,9,15,43,33
NA,NA,NA,NA,22,NA,10
217,175,75,9,22,41,31
330,325,81,6,30,54,30
225,129,72,5,8,41,21
NA,NA,40,9,6,65,23
152,111,43,9,40,33,27
244,175,72,4,10,51,27
205,148,55,7,10,67,6
239,201,79,13,16,38,32
176,141,86,3,14,67,17
229,161,45,8,9,113,25
240,203,62,8,6,74,19
224,150,53,10,16,54,45
NA,173,72,7,28,28,41
310,324,67,7,34,45,38
228,139,69,5,9,27,34
203,144,41,8,9,40,46
138,118,40,7,42,28,37
240,164,66,5,11,43,44
162,141,58,7,10,39,7
272,211,78,10,22,31,47
159,135,43,4,16,33,38
208,150,54,5,10,95,54
204,169,59,8,6,28,30
230,152,53,10,15,55,53
NA,176,73,7,28,27,49
316,329,66,7,35,47,44
234,141,70,5,10,28,42
202,144,41,8,9,42,54
146,122,40,7,41,29,49
247,167,67,5,12,43,55
163,142,57,7,10,39,8
279,215,78,11,23,31,53
162,136,43,4,16,34,44
213,152,55,5,11,95,64
