PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
348,267,36,5,5,56,40
NA,NA,NA,NA,NA,49,2
361,346,70,7,15,66,24
307,210,46,NA,NA,59,12
241,NA,91,11,NA,42,NA
315,159,63,3,8,77,15
381,301,206,20,NA,92,3
329,217,111,NA,19,52,17
274,184,43,NA,NA,91,22
329,209,100,13,18,69,10
NA,NA,NA,NA,NA,77,6
360,235,44,18,15,69,NA
329,NA,47,NA,12,37,17
NA,NA,NA,NA,NA,38,26
337,NA,59,13,NA,53,39
370,253,63,17,17,61,15
300,207,41,NA,NA,77,6
333,223,80,11,21,89,19
325,218,31,22,4,66,13
318,195,74,10,22,74,9
356,242,70,16,16,78,18
NA,NA,NA,NA,NA,52,20
276,219,91,6,18,39,17
360,232,35,17,6,41,11
348,NA,110,NA,9,65,10
336,250,88,9,8,79,22
335,224,53,13,11,69,24
308,154,61,10,10,52,35
359,250,22,12,20,69,21
368,271,32,13,12,95,8
302,169,51,6,18,52,21
338,248,79,12,19,99,74
336,233,53,11,15,26,11
259,175,8,NA,NA,75,35
366,254,55,18,19,54,21
299,221,81,NA,NA,2,13
333,240,33,5,5,46,42
NA,NA,57,4,25,46,2
352,321,67,7,14,60,20
287,197,42,NA,NA,48,11
221,NA,84,11,NA,35,NA
305,153,62,3,8,70,12
356,259,208,20,NA,82,3
311,201,105,NA,19,41,19
261,186,42,NA,NA,82,19
333,214,97,13,18,48,10
NA,NA,NA,NA,NA,51,7
350,226,44,18,15,66,NA
325,NA,48,NA,13,24,14
308,164,42,11,8,39,22
324,NA,59,14,NA,48,31
355,228,61,17,19,54,14
298,214,42,NA,NA,72,6
325,214,73,11,21,77,19
309,205,30,21,5,44,16
310,188,72,10,24,67,9
341,218,62,16,16,52,18
NA,NA,NA,NA,NA,42,18
256,205,86,6,18,37,17
350,229,34,17,6,35,9
349,NA,107,NA,12,57,10
324,239,84,9,8,55,29
330,213,51,13,11,62,21
295,147,59,10,11,49,27
346,233,21,11,18,47,18
361,258,29,13,12,93,7
293,164,49,6,18,52,19
336,239,78,11,22,99,76
331,227,52,11,15,27,9
252,174,8,NA,NA,76,33
361,248,55,18,20,56,17
294,213,81,NA,NA,3,12
326,234,32,5,5,47,38
NA,NA,NA,NA,NA,47,2
347,306,67,7,14,59,17
280,194,41,NA,NA,49,11
211,NA,83,11,NA,36,NA
299,150,61,3,7,73,10
349,253,208,20,NA,81,3
304,196,105,NA,19,43,16
255,181,42,NA,NA,83,17
332,211,96,13,18,40,10
NA,NA,NA,NA,NA,54,7
347,223,44,18,15,64,NA
323,NA,48,NA,13,27,10
305,162,42,11,8,43,17
318,NA,60,14,NA,47,25
349,222,60,17,20,57,10
296,214,41,NA,NA,72,6
320,209,71,10,22,76,15
302,200,30,21,5,45,17
306,186,72,10,25,69,7
336,214,61,16,16,52,17
NA,NA,NA,NA,NA,42,17
248,200,85,6,18,42,17
344,225,33,16,6,37,7
348,NA,107,NA,11,62,8
320,235,83,9,8,56,29
324,209,51,13,11,62,20
290,145,59,10,11,52,21
342,229,21,11,18,47,15
357,252,28,13,12,93,7
217,115,36,6,12,61,12
294,174,57,9,28,88,63
277,147,43,9,14,46,8
188,127,5,NA,NA,72,32
297,168,52,17,19,65,16
225,131,69,NA,NA,3,10
270,143,27,5,6,71,24
NA,NA,NA,NA,NA,46,4
